case,normalized_centerline_position,smoothed_diameter_px,reference_diameter_px
V09,0.2891180873866567,14.21863842010498,13.212194367900969
V09,0.29161454825893873,14.233469009399414,13.197939825191714
V09,0.29337981267069624,14.091970443725586,13.187860341379288
V09,0.2958762735429783,13.914926528930664,13.173605798670033
V09,0.2976415379547358,13.601383209228516,13.163526314857608
V09,0.29940680236649325,13.261051177978516,13.15344683104518
V09,0.30117206677825076,12.778207778930664,13.143367347232754
V09,0.30293733119000826,12.322750091552734,13.133287863420327
V09,0.3054337920622903,11.837376594543457,13.119033320711074
V09,0.3071990564740478,11.43361759185791,13.108953836898646
V09,0.30896432088580533,10.95221996307373,13.09887435308622
V09,0.31072958529756284,10.534944534301758,13.088794869273793
V09,0.31249484970932034,10.239604949951172,13.078715385461367
V09,0.31426011412107785,10.069697380065918,13.068635901648939
V09,0.31602537853283535,10.012771606445312,13.058556417836513
V09,0.31779064294459286,9.979393005371094,13.048476934024086
V09,0.31955590735635037,10.059285163879395,13.03839745021166
V09,0.32132117176810787,10.268288612365723,13.028317966399232
V09,0.3230864361798654,10.456108093261719,13.018238482586806
V09,0.3255828970521474,10.629631996154785,13.003983939877552
V09,0.3273481614639049,10.761808395385742,12.993904456065126
V09,0.3291134258756624,10.815049171447754,12.983824972252698
V09,0.3308786902874199,10.925274848937988,12.973745488440272
V09,0.3326439546991774,11.009523391723633,12.963666004627845
V09,0.33514041557145946,11.015438079833984,12.949411461918592
V09,0.33690567998321697,11.06786823272705,12.939331978106164
V09,0.33867094439497447,11.051881790161133,12.929252494293738
V09,0.3411674052672565,11.083699226379395,12.914997951584484
V09,0.342932669679014,11.128417015075684,12.904918467772058
V09,0.3446979340907715,11.11258316040039,12.89483898395963
V09,0.34719439496305354,11.11170482635498,12.880584441250377
V09,0.34895965937481105,11.191965103149414,12.87050495743795
V09,0.35072492378656855,11.271533966064453,12.860425473625522
V09,0.3532213846588506,11.281671524047852,12.84617093091627
V09,0.3549866490706081,11.24706745147705,12.836091447103842
V09,0.3567519134823656,11.314197540283203,12.826011963291416
V09,0.3592483743546476,11.37072467803955,12.811757420582161
V09,0.36101363876640513,11.419100761413574,12.801677936769735
V09,0.3635100996386872,11.431927680969238,12.78742339406048
V09,0.3652753640504447,11.52053451538086,12.777343910248055
V09,0.3670406284622022,11.544281005859375,12.767264426435627
V09,0.36953708933448426,11.56337833404541,12.753009883726374
V09,0.37130235374624176,11.662962913513184,12.742930399913947
V09,0.37306761815799927,11.696712493896484,12.732850916101519
V09,0.3748328825697568,11.710447311401367,12.722771432289093
V09,0.3773293434420388,11.780588150024414,12.70851688957984
V09,0.3790946078537963,11.775749206542969,12.698437405767413
V09,0.3808598722655538,11.812939643859863,12.688357921954985
V09,0.3826251366773113,11.864861488342285,12.67827843814256
V09,0.38512159754959335,11.915473937988281,12.664023895433305
V09,0.38688686196135086,11.99417781829834,12.653944411620879
V09,0.38865212637310836,12.051567077636719,12.643864927808451
V09,0.39041739078486587,12.024993896484375,12.633785443996025
V09,0.3929138516571479,12.040721893310547,12.61953090128677
V09,0.3946791160689054,12.06905746459961,12.609451417474345
V09,0.3964443804806629,12.078460693359375,12.599371933661917
V09,0.3982096448924204,11.956602096557617,12.589292449849491
V09,0.3999749093041779,11.880620956420898,12.579212966037066
V09,0.4017401737159354,11.891127586364746,12.569133482224638
V09,0.4035054381276929,11.971662521362305,12.55905399841221
V09,0.4052707025394504,12.153368949890137,12.548974514599784
V09,0.4070359669512079,12.32338809967041,12.538895030787359
V09,0.4088012313629654,12.473006248474121,12.528815546974931
V09,0.4112976922352475,12.587830543518066,12.514561004265676
V09,0.413062956647005,12.67711353302002,12.50448152045325
V09,0.4148282210587625,12.740856170654297,12.494402036640823
V09,0.41659348547052,12.779057502746582,12.484322552828397
V09,0.41835874988227745,12.791718482971191,12.47424306901597
V09,0.42012401429403495,12.79377269744873,12.464163585203544
V09,0.42188927870579246,12.761573791503906,12.454084101391118
V09,0.4243857395780745,12.704375267028809,12.439829558681863
V09,0.426151003989832,12.612923622131348,12.429750074869435
V09,0.42791626840158953,12.50161361694336,12.41967059105701
V09,0.42968153281334703,12.379155158996582,12.409591107244582
V09,0.43144679722510454,12.23061466217041,12.399511623432156
V09,0.43321206163686204,12.070927619934082,12.389432139619728
V09,0.43497732604861955,11.935012817382812,12.379352655807303
V09,0.4374737869209016,11.867188453674316,12.365098113098048
V09,0.43923905133265906,11.88184928894043,12.355018629285622
V09,0.44100431574441656,11.952909469604492,12.344939145473194
V09,0.44276958015617407,12.034252166748047,12.334859661660769
V09,0.4445348445679316,12.035334587097168,12.324780177848343
V09,0.4463001089796891,12.035334587097168,12.314700694035915
V09,0.4480653733914466,12.034252166748047,12.304621210223488
V09,0.4498306378032041,12.032087326049805,12.294541726411062
V09,0.4515959022149616,12.047740936279297,12.284462242598636
V09,0.45336116662671905,12.101651191711426,12.274382758786208
V09,0.4558576274990011,12.048657417297363,12.260128216076954
V09,0.4576228919107586,11.999706268310547,12.250048732264528
V09,0.4593881563225161,11.954797744750977,12.239969248452102
V09,0.4611534207342736,11.913931846618652,12.229889764639674
V09,0.46291868514603113,11.896008491516113,12.219810280827247
V09,0.46468394955778863,11.936403274536133,12.20973079701482
V09,0.46644921396954614,11.98197078704834,12.199651313202395
V09,0.46821447838130364,11.98364543914795,12.189571829389967
V09,0.4699797427930611,11.827547073364258,12.179492345577541
V09,0.4717450072048186,11.694128036499023,12.169412861765114
V09,0.47424146807710066,11.602288246154785,12.155158319055861
V09,0.47600673248885816,11.572465896606445,12.145078835243433
V09,0.47777199690061567,11.459501266479492,12.134999351431006
V09,0.4795372613123732,11.37433910369873,12.12491986761858
V09,0.4813025257241307,11.335882186889648,12.114840383806154
V09,0.4830677901358882,11.364568710327148,12.104760899993726
V09,0.4848330545476457,11.415966987609863,12.0946814161813
V09,0.4865983189594032,11.455403327941895,12.084601932368873
V09,0.48909477983168526,11.378646850585938,12.07034738965962
V09,0.4908600442434427,11.28734302520752,12.060267905847192
V09,0.4926253086552002,11.16825008392334,12.050188422034767
V09,0.4943905730669577,11.198573112487793,12.040108938222339
V09,0.4968870339392398,11.23315143585205,12.025854395513086
V09,0.4986522983509973,11.226164817810059,12.015774911700658
V09,0.5004175627627547,11.259160995483398,12.005695427888233
V09,0.5021828271745122,11.352581024169922,11.995615944075805
V09,0.5039480915862697,11.317512512207031,11.98553646026338
V09,0.5057133559980272,11.22968864440918,11.975456976450952
V09,0.5082098168703093,11.148287773132324,11.961202433741697
V09,0.5099750812820668,11.13202953338623,11.951122949929271
V09,0.5117403456938243,11.15066146850586,11.941043466116845
V09,0.5135056101055818,11.22462272644043,11.930963982304418
V09,0.5160020709778639,11.165003776550293,11.916709439595163
V09,0.5177673353896214,11.210119247436523,11.906629955782737
V09,0.5195325998013789,11.342174530029297,11.89655047197031
