centerline_arc_length_pixel,normalized_centerline_position,apparent_diameter_pixel,reference_diameter_pixel,diameter_stenosis_percent
304.10764773832534,0.5456648590326074,12.0,12.254939756426104,2.080301996526926
305.10764773832534,0.5474591738520168,12.0,12.258793748724047,2.1110865720453407
306.10764773832534,0.5492534886714262,12.0,12.262647741021988,2.1418517971723015
307.10764773832534,0.5510478034908356,12.0,12.26650173331993,2.17259769014684
308.10764773832534,0.552842118310245,11.990747,12.270355725617872,2.2787299739964606
309.10764773832534,0.5546364331296544,11.959601,12.274209717915815,2.5631655549594194
310.10764773832534,0.5564307479490638,11.905182,12.278063710213758,3.036975815151889
311.10764773832534,0.5582250627684732,11.892087,12.281917702511699,3.1740215919613757
312.10764773832534,0.5600193775878826,11.958578,12.285771694809641,2.6631911547457747
313.10764773832534,0.561813692407292,12.060338,12.289625687107584,1.865700979187764
314.10764773832534,0.5636080072267013,12.162445,12.293479679405525,1.0658870756150844
315.10764773832534,0.5654023220461107,12.249966,12.297333671703468,0.38518922266746203
316.10764773832534,0.5671966368655201,12.3229,12.301187664001409,0.0
317.10764773832534,0.5689909516849294,12.381247,12.305041656299352,0.0
318.52186130069845,0.5715284960377053,12.425007,12.310492024476384,0.0
319.52186130069845,0.5733228108571147,12.444927,12.314346016774325,0.0
320.52186130069845,0.5751171256765241,12.455401,12.318200009072267,0.0
321.52186130069845,0.5769114404959335,12.465141,12.322054001370208,0.0
322.52186130069845,0.5787057553153429,12.459212,12.325907993668151,0.0
323.52186130069845,0.5805000701347522,12.437614,12.329761985966094,0.0
324.52186130069845,0.5822943849541616,12.32117,12.333615978264035,0.10091221484048256
325.93607486307155,0.5848319293069374,12.275936,12.339066346441067,0.5116288214974302
326.93607486307155,0.5866262441263468,12.257594,12.34292033873901,0.6912969363471064
327.93607486307155,0.5884205589457562,12.231225,12.34677433103695,0.9358664393304419
328.93607486307155,0.5902148737651656,12.181893,12.350628323334893,1.3662055907086377
329.93607486307155,0.592009188584575,12.11528,12.354482315632834,1.9361569198490074
330.93607486307155,0.5938035034039844,12.080701,12.358336307930777,2.246543763532278
331.93607486307155,0.5955978182233937,12.1500845,12.36219030022872,1.7157623328316038
332.93607486307155,0.5973921330428031,12.212683,12.366044292526661,1.2401829145988161
333.93607486307155,0.5991864478622125,12.276947,12.369898284824604,0.7514311047671395
335.35028842544466,0.6017239922149884,12.299925,12.375348653001636,0.6094681018904018
336.35028842544466,0.6035183070343977,12.2953615,12.379202645299577,0.6772740445568857
337.35028842544466,0.6053126218538071,12.323455,12.38305663759752,0.4813171938824667
338.76450198781777,0.6078501662065829,12.257943,12.38850700577455,1.0539111156198497
339.76450198781777,0.6096444810259923,12.180372,12.392360998072492,1.7106406111497663
340.76450198781777,0.6114387958454017,12.091849,12.396214990370435,2.455311266539573
341.76450198781777,0.6132331106648111,12.008413,12.400068982668376,3.1584958793088878
343.1787155501909,0.6157706550175869,11.972297,12.405519350845408,3.4921765369957676
344.1787155501909,0.6175649698369963,11.842845,12.40937334314335,4.565326261077064
345.1787155501909,0.6193592846564057,11.710858,12.413227335441292,5.658230300867877
346.592929112564,0.6218968290091815,11.627281,12.418677703618323,6.372631076679744
347.592929112564,0.6236911438285909,11.593648,12.422531695916266,6.672422009924158
348.592929112564,0.6254854586480003,11.5477295,12.426385688214207,7.070891070603641
350.0071426749371,0.6280230030007761,11.541851,12.431836056391239,7.158918510934862
351.0071426749371,0.6298173178201855,11.462392,12.43569004868918,7.826652092050604
